product_type,product_size,inventory_avail,inventory_assigned
tops,XS,130,0
tops,S,840,0
tops,M,1100,0
tops,L,690,0
tops,XL,330,0
sports-bra,XS,110,0
sports-bra,S,700,0
sports-bra,M,1160,0
sports-bra,L,757,0
sports-bra,XL,300,0
leggings,XS,90,0
leggings,S,760,0
leggings,M,1300,0
leggings,L,790,0
leggings,XL,300,0
